"price","size_sqft","lot_sqft","bedrooms","bathrooms","year_built","year_renovated","renovated","condition","location_quality","dist_center_km","crime_rate","school_rating","has_pool","garage_cars","waterfront"
54606200,2613,5773,3,3.5,2010,2018,"Yes","Excellent","High",4.41,31.2,9,"Yes",3,"No"
14044300,1684,4910,3,3,1984,NA,"No","Fair","Low",31.47,79.3,4,"No",1,"No"
2990200,884,2070,2,1.5,1961,NA,"No","Poor","Low",24.17,86.2,7,"No",0,"No"
4658600,1061,2638,3,1.5,1991,NA,"No","Fair","Low",30.77,100,5,"No",0,"No"
186312400,3573,10598,4,3.5,2006,NA,"No","Fair","Premium",2.61,15.1,9,"Yes",3,"No"
12023000,1573,3990,3,2,1974,NA,"No","Fair","Low",31.06,65.8,4,"No",2,"No"
12595600,1057,3478,3,3,1934,NA,"No","Fair","Low",33.1,52.5,6,"No",2,"No"
10139200,2521,6724,3,3,2007,NA,"No","Fair","High",5.19,39.1,10,"No",2,"No"
19577500,1633,4460,4,3.5,1992,2010,"Yes","Excellent","Medium",14.38,37.2,7,"No",2,"No"
6811700,906,2264,1,2,1991,NA,"No","Fair","Low",22.24,62.2,4,"No",2,"No"
6791900,1466,4284,3,4,2006,NA,"No","Good","Medium",15.74,43.8,5,"No",2,"No"
106533600,2935,6529,3,4,2018,2024,"Yes","Excellent","Premium",3.27,23.1,9,"Yes",3,"No"
5259100,1790,4027,4,3.5,1961,NA,"No","Fair","Medium",16.53,51.2,6,"No",2,"No"
48964900,2929,7444,4,3,2014,2024,"Yes","Excellent","High",9.27,27.4,8,"No",2,"No"
7860700,2093,6356,4,3.5,1993,NA,"No","Fair","Medium",24.57,59.6,6,"Yes",3,"No"
4755800,1880,5619,4,2.5,1993,NA,"No","Fair","High",8.36,41.4,8,"No",2,"No"
4020200,1558,4726,4,2.5,1978,NA,"No","Poor","Low",18.43,79.1,2,"No",0,"No"
6646000,1982,7130,2,2,1970,NA,"No","Fair","Medium",19.5,26.7,5,"Yes",3,"No"
2877800,862,2213,1,1,1999,NA,"No","Good","Medium",19.83,52.8,6,"No",2,"No"
7510700,3906,12550,4,2.5,1980,NA,"No","Poor","High",4.28,33,9,"Yes",2,"No"
2280900,1197,3227,2,2.5,1972,NA,"No","Poor","Medium",13.94,40.7,5,"No",2,"No"
5436900,1886,4287,2,2,1992,2012,"Yes","Excellent","Medium",21.82,33,8,"No",2,"No"
5121700,1772,4971,3,2,1968,NA,"No","Poor","Low",37.69,79.8,2,"No",2,"No"
3046000,1837,5325,3,2.5,1977,NA,"No","Fair","Medium",10.3,46.2,7,"No",0,"No"
254314000,3651,8203,5,3,2009,2024,"Yes","Excellent","Premium",4.14,1.1,9,"Yes",3,"No"
39260400,1420,2575,3,3,1966,1975,"Yes","Excellent","Low",33.25,69,5,"No",0,"No"
12684300,2972,9988,4,3,1995,NA,"No","Fair","High",10.4,20.5,9,"No",1,"No"
16528400,1768,3595,3,2.5,1985,1993,"Yes","Excellent","High",9.92,49,7,"Yes",2,"No"
6659200,1519,3336,3,2.5,1995,NA,"No","Good","Medium",22.97,51.3,5,"No",1,"No"
27951500,3154,7488,4,3.5,1988,NA,"No","Fair","High",5.98,16.3,7,"Yes",4,"No"
29309100,2928,11126,4,4,1984,NA,"No","Good","High",11.26,29.3,8,"No",2,"No"
22473700,1017,3142,3,3,1994,2007,"Yes","Good","Low",39.33,61,5,"No",0,"No"
6637100,1697,4353,3,3,1993,2015,"Yes","Good","Medium",13.81,46.8,5,"No",2,"No"
2611400,2334,6619,3,2.5,2002,NA,"No","Fair","Medium",20.59,54.8,5,"No",0,"No"
5650700,731,2000,3,4,1953,NA,"No","Poor","Low",26.89,100,3,"No",1,"No"
6362300,1250,3476,3,2,2007,2016,"Yes","Excellent","High",3.39,27.1,6,"No",1,"No"
8612300,2840,6469,4,3,1989,2001,"Yes","Good","Medium",20.13,65.4,8,"No",1,"No"
17968700,3401,5985,5,3,1999,NA,"No","Good","Premium",1.67,17.6,10,"Yes",2,"No"
100334900,3269,3297,6,4,2001,2024,"Yes","Excellent","High",10.04,41.2,7,"Yes",3,"No"
2107600,1132,4047,2,2,1966,NA,"No","Poor","Medium",19.66,41.1,7,"No",2,"No"
260188100,4412,13180,5,3.5,2001,NA,"No","Good","Premium",1.58,12,8,"Yes",4,"No"
56677700,3178,10358,5,4.5,1985,NA,"No","Fair","High",4.68,33,8,"Yes",2,"No"
7441200,1599,3878,3,3.5,1988,NA,"No","Good","Medium",16.88,46.6,7,"No",2,"No"
6482800,2462,5480,4,3.5,1986,NA,"No","Fair","Medium",8.76,67.3,8,"Yes",3,"No"
16443700,2052,4798,3,3,1999,2024,"Yes","Excellent","High",9.29,14.4,7,"No",2,"No"
2175200,1222,2593,2,2,1972,NA,"No","Fair","Medium",23.38,46.6,6,"No",2,"No"
32224600,1962,6629,4,4,2006,2024,"Yes","Good","Medium",11.52,37.9,8,"Yes",3,"No"
113720900,3076,8535,6,6,2006,2024,"Yes","Excellent","High",11.78,15.8,8,"Yes",3,"No"
16971300,2317,2037,5,4.5,1996,NA,"No","Good","High",9.27,36.9,9,"No",1,"No"
4818900,1520,4644,2,2.5,1948,NA,"No","Fair","Low",36.37,66.3,5,"No",0,"No"
52381700,3154,7511,4,3.5,1986,1995,"Yes","Excellent","High",7.6,41.2,8,"Yes",3,"No"
24694000,2694,5294,5,3.5,2023,2024,"Yes","Excellent","High",9.06,39.9,9,"No",2,"No"
8589400,1198,2229,2,3.5,1941,NA,"No","Poor","Low",29.71,79.3,3,"Yes",2,"No"
24169600,1931,6299,2,3,2008,2020,"Yes","Excellent","High",7.65,38,8,"Yes",3,"No"
24918100,2156,4354,4,3,2006,2020,"Yes","Good","High",10.56,26.2,8,"No",2,"No"
13454000,1512,3099,2,2.5,2009,NA,"No","Fair","Premium",4.22,19.1,10,"Yes",2,"No"
14114900,1971,3744,4,3.5,1998,NA,"No","Fair","Medium",14.27,56.8,7,"Yes",4,"No"
13587200,1586,4828,4,3.5,1988,NA,"No","Fair","Low",15.01,89.7,5,"No",2,"No"
12518100,2747,4223,3,2,1982,NA,"No","Fair","High",7.15,33.9,7,"Yes",4,"No"
23093600,2481,8797,4,4,2007,2018,"Yes","Good","Medium",17.82,54.8,4,"Yes",4,"No"
14470800,3251,10571,6,4,2014,NA,"No","Good","High",4.04,46.2,7,"Yes",2,"No"
6199300,891,2006,3,2.5,1950,NA,"No","Fair","Low",32.01,72.1,4,"No",2,"No"
88721900,2471,7443,4,4,2005,2024,"Yes","Good","High",4.9,31,8,"Yes",3,"No"
10020000,2526,5204,3,2.5,2013,NA,"No","Good","High",8.5,13.7,10,"No",1,"No"
24848000,2334,3867,5,4,1997,2011,"Yes","Excellent","Medium",14.5,50.7,8,"No",1,"No"
5973200,1917,4243,3,3,1942,NA,"No","Fair","Low",35.75,69.4,3,"No",2,"No"
10828500,1862,3821,4,3,1962,NA,"No","Poor","Low",29.9,70.7,6,"No",2,"No"
20382800,2637,7055,3,1.5,1983,NA,"No","Fair","High",8.28,41.6,8,"Yes",2,"No"
7783000,600,2000,3,3,1994,2021,"Yes","Excellent","Medium",11.91,64,6,"No",2,"No"
117808700,2897,8116,4,2.5,2008,2024,"Yes","Excellent","High",3.25,18.4,9,"Yes",3,"No"
43194600,3535,7404,4,2.5,2003,2014,"Yes","Good","Premium",4.55,21.6,9,"Yes",3,"No"
8595200,1850,4217,2,2,1993,1998,"Yes","Excellent","Medium",11.69,53.7,5,"No",2,"No"
5794800,1696,2484,3,2.5,1998,NA,"No","Fair","Medium",22.86,44.1,6,"No",1,"No"
5093700,984,2000,1,2,1978,NA,"No","Poor","Low",33.67,88.6,3,"No",2,"No"
1369900,1288,4003,3,2.5,1967,NA,"No","Poor","Medium",11.07,56.3,8,"No",2,"No"
45998200,3460,10073,6,4,2011,2022,"Yes","Good","High",4.22,47.1,6,"Yes",3,"No"
244726800,3915,8279,4,3.5,1997,NA,"No","Fair","Premium",2.4,35.1,10,"Yes",4,"Yes"
26123300,2727,4634,3,2,1982,2001,"Yes","Excellent","High",6.52,29.8,8,"No",2,"No"
22959100,2357,6880,4,2.5,1971,1991,"Yes","Excellent","Medium",8.51,46.6,8,"No",2,"No"
6773000,727,2219,1,1,1963,1968,"Yes","Excellent","Low",17.46,55,4,"No",0,"No"
25693400,1022,2994,2,2.5,1963,1978,"Yes","Good","Low",23.74,56.2,7,"No",2,"No"
10077600,2897,7581,3,2,1995,NA,"No","Fair","High",5.38,32.1,8,"Yes",2,"No"
11995600,3138,8078,5,3.5,1989,NA,"No","Fair","High",6.42,22.8,10,"No",3,"No"
16697600,1474,4428,2,1.5,2013,2021,"Yes","Good","Medium",20.66,33.6,6,"Yes",3,"No"
5029000,1838,4070,2,2,1975,NA,"No","Fair","Medium",21.76,58,7,"No",2,"No"
12234200,2001,4704,4,4,1989,NA,"No","Good","Low",25.71,83.8,6,"Yes",3,"No"
6701200,1513,4092,3,2,1993,NA,"No","Good","Low",29.36,68.7,5,"No",1,"No"
10333000,2621,4934,5,4,1992,2010,"Yes","Good","High",8.29,17.2,8,"No",2,"No"
4158100,1240,4470,2,2.5,1962,NA,"No","Poor","Low",34.55,51.9,5,"No",0,"No"
18657500,2569,7521,3,2,2008,NA,"No","Good","High",8.89,24.1,8,"Yes",2,"No"
43463900,4072,12563,6,4.5,2018,2024,"Yes","Excellent","Premium",3.8,11.7,10,"Yes",3,"No"
56881700,3395,7319,5,3,2003,NA,"No","Good","Premium",2.31,13.2,9,"Yes",2,"No"
5566900,1701,5117,4,4,1974,NA,"No","Fair","Medium",13.5,54,5,"No",1,"No"
78242700,2254,7133,3,3,2009,2023,"Yes","Excellent","High",10.36,23.3,7,"Yes",3,"No"
33461200,2317,7845,4,3.5,1963,NA,"No","Fair","Low",36.2,89.9,5,"Yes",3,"No"
5498400,1525,2000,3,2,1961,NA,"No","Fair","Medium",21.37,40.4,6,"Yes",3,"No"
22135700,3552,8544,5,3,1999,NA,"No","Good","Premium",2.87,21.7,9,"Yes",3,"No"
90552900,2070,6246,4,4,2008,2024,"Yes","Good","High",4.99,42.8,9,"Yes",4,"No"
5383300,2188,5729,5,3,2010,NA,"No","Fair","Medium",14.51,53.4,6,"No",1,"No"
17071000,2134,4033,4,1.5,2014,2024,"Yes","Excellent","Medium",14.49,28.1,7,"Yes",2,"No"
2633000,2147,6782,3,1.5,2001,NA,"No","Fair","Medium",23.78,40.2,6,"No",1,"No"
7728500,1345,3505,2,1.5,1968,NA,"No","Poor","Low",28.84,77.8,4,"Yes",4,"No"
15551900,2898,8133,5,3,2014,2023,"Yes","Excellent","High",6.9,24.2,8,"No",1,"No"
46267300,1226,3028,2,3,1985,2001,"Yes","Excellent","Low",38.3,60.4,6,"No",0,"No"
3693200,2353,7077,3,2.5,1964,NA,"No","Poor","Medium",9.13,33.1,5,"Yes",2,"No"
8348900,1027,2923,2,1.5,1973,NA,"No","Fair","Low",33.98,77.1,6,"Yes",2,"No"
2436800,1133,2406,1,1.5,1996,NA,"No","Fair","Low",15.17,64.5,5,"No",1,"No"
6456800,926,2599,2,2,1987,1993,"Yes","Good","Medium",21.59,42.2,7,"No",0,"No"
12895900,1392,4278,3,3.5,2010,2024,"Yes","Good","Medium",8.92,39.9,6,"Yes",3,"No"
11038200,1842,3997,2,2,2000,2014,"Yes","Good","Medium",8.01,54.6,6,"Yes",3,"No"
92573900,3154,7762,4,2.5,1991,2004,"Yes","Excellent","High",10.69,20.3,7,"Yes",3,"No"
137259500,5067,17383,5,3,2012,2024,"Yes","Good","Premium",5.88,16.2,10,"Yes",2,"No"
53810200,2596,2852,3,3.5,2003,2020,"Yes","Excellent","Premium",3.65,13.8,9,"Yes",2,"No"
9062500,938,2000,3,2.5,1977,NA,"No","Fair","Medium",24.94,53.6,5,"Yes",4,"No"
7164800,1342,2232,3,3.5,1998,NA,"No","Good","Medium",23.96,49.6,7,"No",0,"No"
1216300,895,2000,1,1,1977,NA,"No","Poor","Medium",20.77,30.8,6,"No",0,"No"
4090800,1825,2972,4,2.5,1997,2012,"Yes","Excellent","Medium",17.42,59.2,6,"No",1,"No"
4543200,1724,6608,2,2,1940,NA,"No","Poor","Low",16.49,85.5,5,"No",2,"No"
5016000,2373,4730,3,3.5,2008,NA,"No","Good","Medium",12.43,70.3,7,"No",2,"No"
9206300,1207,3370,4,4.5,1964,NA,"No","Poor","Low",21.58,60.2,7,"No",1,"No"
108559700,3637,10358,5,3.5,2013,NA,"No","Fair","Premium",1.82,10.1,9,"Yes",3,"No"
7554200,1549,4309,2,2.5,2001,NA,"No","Good","High",3.21,33.2,9,"No",2,"No"
6635700,2653,6844,4,2.5,2010,NA,"No","Good","Medium",10.2,50.5,6,"No",3,"No"
52686000,2894,7762,3,3.5,2004,2024,"Yes","Excellent","Medium",20.29,50.3,9,"Yes",3,"No"
24203800,2155,4832,5,2.5,1995,2009,"Yes","Good","Medium",24.04,37.8,7,"No",2,"No"
9124200,2157,5746,5,2.5,1971,NA,"No","Fair","Medium",14.97,36.6,6,"Yes",4,"No"
19094900,2992,10990,4,3.5,2013,NA,"No","Fair","High",9.71,16.5,10,"No",1,"No"
3244700,1688,5810,4,3,1974,NA,"No","Poor","Medium",16.32,17.7,6,"No",1,"No"
24313100,2772,10083,5,3.5,1998,NA,"No","Fair","High",11.87,33.3,7,"Yes",3,"No"
4643700,1818,6046,4,3.5,1981,NA,"No","Good","Medium",9.87,51.3,6,"No",0,"No"
9539300,2770,4206,3,2,1983,2007,"Yes","Good","High",4.64,12.3,8,"No",1,"No"
3310000,1595,2114,3,2,1995,NA,"No","Good","Medium",18.9,31.6,7,"No",0,"No"
232867000,2767,8671,4,3,2005,2024,"Yes","Excellent","Premium",3.42,20.1,9,"Yes",3,"No"
12627800,1331,4227,4,3.5,2010,2024,"Yes","Excellent","High",3.18,24.9,9,"No",0,"No"
3704400,1073,3211,3,4,1987,NA,"No","Fair","Medium",24.99,34.2,6,"No",0,"No"
8809900,2067,6353,5,4,2000,2011,"Yes","Good","Medium",9.37,46.5,6,"No",0,"No"
11425900,1421,3862,2,1.5,1964,NA,"No","Fair","Low",18.87,65.8,5,"Yes",3,"No"
9015200,1562,2684,2,1.5,1982,NA,"No","Fair","Low",36.46,89.3,6,"No",2,"No"
25404000,1821,4963,4,3.5,1988,NA,"No","Good","Low",23.35,74.8,6,"Yes",3,"No"
4148700,1429,2903,2,2,1962,NA,"No","Fair","Low",27.43,69.9,4,"No",1,"No"
44583100,2254,6296,5,4,1975,1996,"Yes","Excellent","Medium",20.41,63,8,"Yes",3,"No"
23052700,3021,8217,4,4,1998,NA,"No","Fair","Medium",20.56,67.9,6,"Yes",3,"No"
40734900,2342,5613,4,3,2006,NA,"No","Good","High",9.3,26.3,8,"Yes",3,"No"
22970400,3003,4607,5,4.5,1983,2003,"Yes","Excellent","High",4.35,38.1,8,"No",3,"No"
4013500,1564,3154,2,2,1962,1989,"Yes","Excellent","Medium",8.92,58,7,"No",0,"No"
7857300,1485,5879,3,3.5,1976,NA,"No","Fair","Medium",14.17,47.8,8,"Yes",3,"No"
4879100,1339,3760,3,2.5,1980,NA,"No","Poor","Low",29.17,66.6,2,"No",0,"No"
4610900,1268,4777,4,3,2010,NA,"No","Fair","Medium",11.7,49.7,6,"No",1,"No"
62886100,3013,9784,6,5,1995,2015,"Yes","Good","High",7.98,23.8,8,"Yes",3,"No"
11034500,1339,3379,3,3.5,1982,NA,"No","Fair","Low",24.52,78.7,3,"Yes",2,"No"
4297800,1067,2000,3,3,1967,NA,"No","Fair","Medium",9.19,49.9,6,"Yes",2,"No"
14325500,2487,5651,5,4,1963,NA,"No","Fair","Medium",21.84,51.3,7,"Yes",3,"No"
222567100,4033,13084,4,4,1996,NA,"No","Good","Premium",4.79,15.1,9,"Yes",3,"No"
8857700,1729,2551,4,2,1967,1980,"Yes","Excellent","Medium",13.94,31.8,5,"No",0,"No"
63871400,4969,11412,4,2,1997,2010,"Yes","Excellent","Premium",3.52,4.3,9,"Yes",2,"No"
100784500,2325,3441,5,4,1992,2007,"Yes","Excellent","High",10.45,30.5,9,"No",2,"No"
14486900,1728,4606,3,2,2000,2021,"Yes","Excellent","Medium",9.21,34.6,7,"Yes",3,"No"
9829200,1253,2295,4,3,1980,1990,"Yes","Good","Medium",14.03,50.9,8,"No",1,"No"
23974700,2938,9913,3,2,2012,NA,"No","Good","High",4.31,21.5,10,"Yes",2,"No"
3691800,1321,3415,3,3,1994,NA,"No","Good","Medium",11.32,59.4,7,"No",1,"No"
17373700,2367,5199,4,2.5,1992,1998,"Yes","Excellent","High",11.53,22.7,8,"No",0,"No"
1805800,1185,2762,1,1,1996,NA,"No","Good","Medium",19.83,50.2,5,"No",2,"No"
15102800,1426,2431,4,3,1947,NA,"No","Fair","Low",15.6,99.2,6,"Yes",2,"No"
7317700,1081,2647,2,2,1992,NA,"No","Good","Low",33.12,75.7,4,"No",2,"No"
9407500,2341,2443,4,2.5,1998,NA,"No","Fair","High",7.82,59,8,"Yes",3,"No"
8445600,1539,3434,2,3,1998,NA,"No","Fair","Low",31.25,59.3,4,"No",0,"No"
21733000,2564,4032,5,3.5,1982,NA,"No","Good","High",9.55,41,8,"Yes",4,"No"
4997500,2031,3289,3,1.5,2024,NA,"No","Good","High",11.59,30.6,7,"No",0,"No"
6772300,2282,9994,5,3.5,1973,NA,"No","Poor","Medium",12.39,48.5,6,"No",2,"No"
11684400,1450,3609,3,1.5,1986,NA,"No","Fair","Low",26.48,43.3,5,"No",1,"No"
1118408000,3279,8677,6,5,2005,NA,"No","Good","Premium",4.65,9.1,9,"Yes",3,"No"
37877700,4001,11534,5,3.5,1995,NA,"No","Good","Premium",5.98,10.1,9,"Yes",3,"No"
5746300,2098,3625,3,1.5,2002,2024,"Yes","Excellent","Medium",24.22,45,6,"No",0,"No"
26841200,3126,9741,5,4,1994,NA,"No","Good","High",5.31,28.9,8,"Yes",2,"No"
3857100,1424,3468,2,2,1940,NA,"No","Poor","Low",30.73,63.9,5,"No",1,"No"
23614700,2349,6821,4,3,2010,2015,"Yes","Good","High",9.53,28,8,"No",1,"No"
7560300,1768,6433,3,3,1962,NA,"No","Fair","Medium",16.14,41.8,6,"Yes",2,"No"
6741000,2068,6603,5,5,1962,NA,"No","Poor","Medium",17.55,63.6,7,"No",0,"No"
2712600,1792,3043,3,2.5,1982,NA,"No","Fair","Medium",20.23,60.4,5,"No",0,"No"
5956200,1666,2505,3,2,1998,2013,"Yes","Excellent","Medium",16.32,48.9,8,"No",1,"No"
3233400,1142,2378,2,2.5,1988,NA,"No","Fair","Medium",14.58,60.9,6,"No",2,"No"
4308600,882,2133,1,1,1942,NA,"No","Fair","Low",28.45,100,5,"No",2,"No"
17373000,1857,3939,3,2.5,2020,2024,"Yes","Excellent","High",10.87,26.4,7,"No",0,"No"
2504200,1250,2000,3,3,1967,NA,"No","Fair","Medium",23.35,42.4,6,"No",0,"No"
106304100,2745,7347,5,2.5,2024,2024,"Yes","Excellent","High",11.55,36.5,7,"Yes",4,"No"
2229900,1779,2856,4,2.5,1975,NA,"No","Fair","Medium",16.31,62.8,3,"No",1,"No"
15084100,964,2328,2,3,1953,1983,"Yes","Excellent","Low",39.61,83.6,1,"No",2,"No"
3915300,2402,6005,3,1.5,2003,NA,"No","Good","Medium",19.98,48.7,7,"No",1,"No"
13528400,2020,3364,3,3,1989,NA,"No","Fair","High",6.49,26.9,9,"No",1,"No"
6693900,1870,4287,2,1.5,2023,NA,"No","Fair","High",4.88,31.9,9,"No",1,"No"
14157400,2990,10322,3,2,1984,NA,"No","Good","High",10.84,33.5,7,"Yes",3,"No"
4978100,600,2000,1,2,1943,NA,"No","Fair","Low",36.16,66.8,4,"No",0,"No"
27682800,600,2000,3,2.5,1958,1976,"Yes","Good","Low",34.32,97.9,4,"No",2,"No"
6179000,2393,5557,4,3,1983,NA,"No","Fair","High",11.96,43.8,8,"No",2,"No"
10941300,1323,3069,2,2.5,2009,2014,"Yes","Excellent","Medium",23.91,45.3,8,"No",1,"No"
2796500,1895,4323,4,2.5,2001,NA,"No","Good","Medium",14.29,46.6,9,"No",0,"No"
124604500,3554,7763,5,4,2012,2024,"Yes","Excellent","High",11.44,6.7,8,"No",2,"No"
4858600,824,2000,2,1.5,1992,NA,"No","Good","Low",34.18,86,4,"No",1,"No"
567526600,3403,8473,5,3.5,2012,NA,"No","Good","Premium",4.79,15.4,10,"Yes",3,"No"
8086200,1678,4420,2,1.5,1991,NA,"No","Fair","Low",35.24,69.9,5,"No",1,"No"
4996300,2003,5516,5,3.5,1984,NA,"No","Good","Medium",10.08,41.8,5,"No",0,"No"
63773400,3429,8710,5,4,1997,NA,"No","Good","Premium",2.74,16.5,9,"Yes",3,"No"
22706900,2451,6514,5,3,2003,NA,"No","Good","High",11.97,31.8,7,"No",0,"No"
3665400,831,2575,1,1.5,1944,NA,"No","Poor","Low",20.7,100,5,"No",2,"No"
23312800,1277,4688,4,4,1998,NA,"No","Fair","Low",31.81,56.2,3,"No",0,"No"
3771900,1641,4894,2,2.5,2013,NA,"No","Fair","Medium",17.32,31.6,7,"No",2,"No"
56644000,2272,4748,5,4,2011,2024,"Yes","Excellent","Medium",21.8,65.3,6,"Yes",4,"No"
330836300,3309,9275,6,5,2003,NA,"No","Good","Premium",2.27,12.3,9,"Yes",4,"No"
